date,orders_cnt,temperature_2m_mean,windspeed_10m_max,is_rain,weathercode,sin_doy,cos_doy,is_public_holiday,is_school_holiday,lag_7,rolling_mean_7,wd_0,wd_1,wd_2,wd_3,wd_4,wd_5,wd_6
2023-01-01,78,11.3,11.9,0,3,0.017201575418260506,0.9998520419557735,1,1,,,False,False,False,False,False,False,True
2023-01-03,60,7.4,5.8,1,51,0.051584366869408364,0.9986686402879997,0,1,,78.0,False,True,False,False,False,False,False
2023-01-04,64,6.8,17.2,1,51,0.06875540848113941,0.9976335468520451,0,1,,69.0,False,False,True,False,False,False,False
2023-01-05,56,9.9,21.4,1,63,0.08590610426133272,0.9963032375991965,0,1,,67.33333333333333,False,False,False,True,False,False,False
2023-01-06,66,8.2,9.7,0,3,0.10303137904317879,0.9946781061893646,0,1,,64.5,False,False,False,False,True,False,False
2023-01-07,74,5.8,11.2,0,3,0.1201261651823505,0.9927586335250793,0,1,,64.8,False,False,False,False,False,True,False
2023-01-08,96,6.3,10.9,1,63,0.13718540405660057,0.9905453876091833,0,1,,66.33333333333333,False,False,False,False,False,False,True
2023-01-10,36,4.9,23.6,1,51,0.17117705961019986,0.985240282501282,0,0,78.0,70.57142857142857,False,True,False,False,False,False,False
2023-01-11,41,8.2,20.3,1,53,0.18809941761179758,0.9821499931752291,0,0,60.0,64.57142857142857,False,False,True,False,False,False,False
2023-01-12,47,8.0,22.5,0,3,0.20496611396949532,0.9787690698649216,0,0,64.0,61.857142857142854,False,False,False,True,False,False,False
2023-01-13,85,8.5,22.4,1,63,0.22177215755648186,0.975098513039961,0,0,56.0,59.42857142857143,False,False,False,False,True,False,False
2023-01-14,88,7.6,20.5,1,61,0.23851257519407648,0.9711394088771653,0,0,66.0,63.57142857142857,False,False,False,False,False,True,False
2023-01-15,98,6.3,30.6,1,63,0.2551824131233728,0.9668929289391521,0,0,74.0,66.71428571428571,False,False,False,False,False,False,True
2023-01-16,20,3.8,34.0,1,73,0.2717767384711357,0.9623603298276545,0,0,96.0,70.14285714285714,True,False,False,False,False,False,False
2023-01-17,37,1.2,15.8,1,73,0.2882906407095177,0.9575429528116719,0,0,36.0,59.285714285714285,False,True,False,False,False,False,False
2023-01-18,49,0.5,14.7,1,73,0.3047192331091634,0.9524422234305676,0,0,41.0,59.42857142857143,False,False,True,False,False,False,False
2023-01-19,43,-2.2,11.3,0,71,0.321057654185271,0.9470596510722283,0,0,47.0,60.57142857142857,False,False,False,True,False,False,False
2023-01-20,71,-2.6,8.7,0,71,0.3373010691361842,0.9413968285264122,0,0,85.0,60.0,False,False,False,False,True,False,False
2023-01-21,85,-2.4,17.3,0,71,0.3534446712740877,0.9354554315134164,0,0,88.0,58.0,False,False,False,False,False,True,False
2023-01-22,87,-0.3,13.7,0,71,0.3694836834473831,0.9292372181882051,0,0,98.0,57.57142857142857,False,False,False,False,False,False,True
2023-01-23,35,0.9,22.2,0,71,0.38541335945432564,0.9227440286201427,0,0,20.0,56.0,True,False,False,False,False,False,False
2023-01-24,50,2.9,12.3,1,51,0.4012289854475009,0.9159777842484877,0,0,37.0,58.142857142857146,False,True,False,False,False,False,False
2023-01-25,56,2.1,9.6,1,51,0.4169258813287287,0.908940487313808,0,0,49.0,60.0,False,False,True,False,False,False,False
2023-01-26,55,-0.0,12.1,0,3,0.4324994021339788,0.901634220265486,0,0,43.0,61.0,False,False,False,True,False,False,False
2023-01-27,87,-0.7,12.7,0,3,0.44794493940789115,0.8940611451454876,0,0,71.0,62.714285714285715,False,False,False,False,True,False,False
2023-01-28,81,0.5,14.0,0,3,0.4632579225674917,0.88622350294858,0,0,85.0,65.0,False,False,False,False,False,True,False
2023-01-29,92,-1.1,7.7,0,3,0.4784338202547012,0.8781236129591848,0,0,87.0,64.42857142857143,False,False,False,False,False,False,True
2023-01-30,38,0.7,16.7,0,3,0.49346814167723735,0.8697638720650646,0,0,35.0,65.14285714285714,True,False,False,False,False,False,False
2023-01-31,35,2.9,15.2,1,51,0.5083564379375122,0.8611467540480452,0,0,50.0,65.57142857142857,False,True,False,False,False,False,False
2023-02-01,40,4.6,23.2,1,51,0.5230943033491326,0.8522748088519838,0,0,56.0,63.42857142857143,False,False,True,False,False,False,False
2023-02-02,38,4.9,20.2,1,51,0.5376773767406141,0.8431506618282,0,0,55.0,61.142857142857146,False,False,False,True,False,False,False
2023-02-03,85,6.3,22.0,0,3,0.5521013427459208,0.8337770129585915,0,0,87.0,58.714285714285715,False,False,False,False,True,False,False
2023-02-04,83,6.0,18.2,1,51,0.5663619330814524,0.8241566360566663,0,0,81.0,58.42857142857143,False,False,False,False,False,True,False
2023-02-05,115,3.3,12.4,1,61,0.580454927809098,0.8142923779467267,0,0,92.0,58.714285714285715,False,False,False,False,False,False,True
2023-02-06,45,2.8,17.7,1,71,0.5943761565849831,0.804187157621448,0,0,38.0,62.0,True,False,False,False,False,False,False
2023-02-07,39,-0.2,10.5,0,1,0.6081214998935418,0.7938439653781019,0,0,35.0,63.0,False,True,False,False,False,False,False
2023-02-08,39,-2.3,7.1,0,0,0.6216868902665479,0.7832658619336791,0,0,40.0,63.57142857142857,False,False,True,False,False,False,False
2023-02-09,49,-1.1,9.7,0,2,0.6350683134867438,0.7724559775191742,0,0,38.0,63.42857142857143,False,False,False,True,False,False,False
2023-02-10,81,0.1,7.9,0,3,0.6482618097757122,0.7614175109532997,0,0,85.0,65.0,False,False,False,False,True,False,False
2023-02-11,67,1.4,8.3,0,3,0.6612634749656386,0.7501537286959042,0,0,83.0,64.42857142857143,False,False,False,False,False,True,False
2023-02-12,97,1.8,10.4,0,1,0.6740694616546162,0.7386679638813748,0,0,115.0,62.142857142857146,False,False,False,False,False,False,True
2023-02-13,32,2.7,11.7,0,3,0.6866759803451553,0.726963615332308,0,0,45.0,59.57142857142857,True,False,False,False,False,False,False
2023-02-14,88,1.7,13.0,0,1,0.6990793005655562,0.7150441465537444,0,0,39.0,57.714285714285715,False,True,False,False,False,False,False
2023-02-15,33,2.6,10.0,0,3,0.7112757519738152,0.7029130847082615,0,0,39.0,64.71428571428571,False,False,True,False,False,False,False
2023-02-16,56,3.8,10.1,0,3,0.7232617254437388,0.6905740195722293,0,0,49.0,63.857142857142854,False,False,False,True,False,False,False
2023-02-17,69,7.9,11.3,1,51,0.7350336741329412,0.6780306024735382,0,0,81.0,64.85714285714286,False,False,False,False,True,False,False
2023-02-18,77,10.5,25.2,0,3,0.746588114532413,0.6652865452111116,0,1,67.0,63.142857142857146,False,False,False,False,False,True,False
2023-02-19,81,8.9,19.4,1,51,0.7579216274973472,0.6523456189565257,0,1,97.0,64.57142857142857,False,False,False,False,False,False,True
2023-02-20,40,7.2,8.9,0,3,0.7690308592589181,0.6392116531380588,0,1,32.0,62.285714285714285,True,False,False,False,False,False,False
2023-02-21,42,5.6,12.6,0,3,0.7799125224167177,0.6258885343075018,0,1,88.0,63.42857142857143,False,True,False,False,False,False,False
2023-02-22,45,5.8,13.8,1,53,0.7905633969115482,0.612380204990065,0,1,33.0,56.857142857142854,False,False,True,False,False,False,False
2023-02-23,59,7.9,8.2,1,53,0.8009803309782905,0.5986906625177214,0,1,56.0,58.57142857142857,False,False,False,True,False,False,False
2023-02-24,96,7.6,13.0,1,61,0.8111602420785621,0.5848239578463322,0,1,69.0,59.0,False,False,False,False,True,False,False
2023-02-25,77,4.3,18.7,1,53,0.8211001178128892,0.5707841943569036,0,1,77.0,62.857142857142854,False,False,False,False,False,True,False
2023-02-26,72,0.1,29.1,0,71,0.8307970168121247,0.5565755266413303,0,1,81.0,62.857142857142854,False,False,False,False,False,False,True
2023-03-01,78,0.8,10.8,0,3,0.8584015232918917,0.512978386299228,0,1,40.0,61.57142857142857,False,False,True,False,False,False,False
2023-03-02,65,1.9,7.5,0,3,0.8670985522812081,0.4981366284784055,0,1,42.0,67.0,False,False,False,True,False,False,False
2023-03-03,74,2.8,7.8,0,3,0.8755389928586302,0.4831474640149687,0,1,45.0,70.28571428571429,False,False,False,False,True,False,False
2023-03-04,76,1.6,11.8,0,3,0.8837203473619977,0.4680153284438345,0,1,59.0,74.42857142857143,False,False,False,False,False,True,False
2023-03-05,112,1.6,11.2,0,3,0.8916401947968874,0.45274469960737107,0,1,96.0,76.85714285714286,False,False,False,False,False,False,True
