date,holiday_name
2023-01-01,Weihnachtsferien
2023-01-02,Weihnachtsferien
2023-01-03,Weihnachtsferien
2023-01-04,Weihnachtsferien
2023-01-05,Weihnachtsferien
2023-01-06,Weihnachtsferien
2023-01-07,Weihnachtsferien
2023-01-08,Weihnachtsferien
2023-02-18,Fasnachtsferien
2023-02-19,Fasnachtsferien
2023-02-20,Fasnachtsferien
2023-02-21,Fasnachtsferien
2023-02-22,Fasnachtsferien
2023-02-23,Fasnachtsferien
2023-02-24,Fasnachtsferien
2023-02-25,Fasnachtsferien
2023-02-26,Fasnachtsferien
2023-02-27,Fasnachtsferien
2023-02-28,Fasnachtsferien
2023-03-01,Fasnachtsferien
2023-03-02,Fasnachtsferien
2023-03-03,Fasnachtsferien
2023-03-04,Fasnachtsferien
2023-03-05,Fasnachtsferien
2023-04-01,Frühlingsferien
2023-04-02,Frühlingsferien
2023-04-03,Frühlingsferien
2023-04-04,Frühlingsferien
2023-04-05,Frühlingsferien
2023-04-06,Frühlingsferien
2023-04-07,Frühlingsferien
2023-04-08,Frühlingsferien
2023-04-09,Frühlingsferien
2023-04-10,Frühlingsferien
2023-04-11,Frühlingsferien
2023-04-12,Frühlingsferien
2023-04-13,Frühlingsferien
2023-04-14,Frühlingsferien
2023-04-15,Frühlingsferien
2023-04-16,Frühlingsferien
2023-07-01,Sommerferien
2023-07-02,Sommerferien
2023-07-03,Sommerferien
2023-07-04,Sommerferien
2023-07-05,Sommerferien
2023-07-06,Sommerferien
2023-07-07,Sommerferien
2023-07-08,Sommerferien
2023-07-09,Sommerferien
2023-07-10,Sommerferien
2023-07-11,Sommerferien
2023-07-12,Sommerferien
2023-07-13,Sommerferien
2023-07-14,Sommerferien
2023-07-15,Sommerferien
2023-07-16,Sommerferien
2023-07-17,Sommerferien
2023-07-18,Sommerferien
2023-07-19,Sommerferien
2023-07-20,Sommerferien
2023-07-21,Sommerferien
2023-07-22,Sommerferien
2023-07-23,Sommerferien
2023-07-24,Sommerferien
2023-07-25,Sommerferien
2023-07-26,Sommerferien
2023-07-27,Sommerferien
2023-07-28,Sommerferien
2023-07-29,Sommerferien
2023-07-30,Sommerferien
2023-07-31,Sommerferien
2023-08-01,Sommerferien
2023-08-02,Sommerferien
2023-08-03,Sommerferien
2023-08-04,Sommerferien
2023-08-05,Sommerferien
2023-08-06,Sommerferien
2023-08-07,Sommerferien
2023-08-08,Sommerferien
2023-08-09,Sommerferien
2023-08-10,Sommerferien
2023-08-11,Sommerferien
2023-08-12,Sommerferien
2023-08-13,Sommerferien
2023-09-30,Herbstferien
2023-10-01,Herbstferien
2023-10-02,Herbstferien
2023-10-03,Herbstferien
2023-10-04,Herbstferien
2023-10-05,Herbstferien
2023-10-06,Herbstferien
2023-10-07,Herbstferien
2023-10-08,Herbstferien
2023-10-09,Herbstferien
2023-10-10,Herbstferien
2023-10-11,Herbstferien
2023-10-12,Herbstferien
2023-10-13,Herbstferien
2023-10-14,Herbstferien
2023-10-15,Herbstferien
2023-12-23,Weihnachtsferien
2023-12-24,Weihnachtsferien
2023-12-25,Weihnachtsferien
2023-12-26,Weihnachtsferien
2023-12-27,Weihnachtsferien
2023-12-28,Weihnachtsferien
2023-12-29,Weihnachtsferien
2023-12-30,Weihnachtsferien
2023-12-31,Weihnachtsferien
2024-01-01,Weihnachtsferien
2024-01-02,Weihnachtsferien
2024-01-03,Weihnachtsferien
2024-01-04,Weihnachtsferien
2024-01-05,Weihnachtsferien
2024-01-06,Weihnachtsferien
2024-01-07,Weihnachtsferien
2024-02-10,Fasnachtsferien
2024-02-11,Fasnachtsferien
2024-02-12,Fasnachtsferien
2024-02-13,Fasnachtsferien
2024-02-14,Fasnachtsferien
2024-02-15,Fasnachtsferien
2024-02-16,Fasnachtsferien
2024-02-17,Fasnachtsferien
2024-02-18,Fasnachtsferien
2024-02-19,Fasnachtsferien
2024-02-20,Fasnachtsferien
2024-02-21,Fasnachtsferien
2024-02-22,Fasnachtsferien
2024-02-23,Fasnachtsferien
2024-02-24,Fasnachtsferien
2024-02-25,Fasnachtsferien
2024-03-23,Frühlingsferien
2024-03-24,Frühlingsferien
2024-03-25,Frühlingsferien
2024-03-26,Frühlingsferien
2024-03-27,Frühlingsferien
2024-03-28,Frühlingsferien
2024-03-29,Frühlingsferien
2024-03-30,Frühlingsferien
2024-03-31,Frühlingsferien
2024-04-01,Frühlingsferien
2024-04-02,Frühlingsferien
2024-04-03,Frühlingsferien
2024-04-04,Frühlingsferien
2024-04-05,Frühlingsferien
2024-04-06,Frühlingsferien
2024-04-07,Frühlingsferien
2024-06-29,Sommerferien
2024-06-30,Sommerferien
2024-07-01,Sommerferien
2024-07-02,Sommerferien
2024-07-03,Sommerferien
2024-07-04,Sommerferien
2024-07-05,Sommerferien
2024-07-06,Sommerferien
2024-07-07,Sommerferien
2024-07-08,Sommerferien
2024-07-09,Sommerferien
2024-07-10,Sommerferien
2024-07-11,Sommerferien
2024-07-12,Sommerferien
2024-07-13,Sommerferien
2024-07-14,Sommerferien
2024-07-15,Sommerferien
2024-07-16,Sommerferien
2024-07-17,Sommerferien
2024-07-18,Sommerferien
2024-07-19,Sommerferien
2024-07-20,Sommerferien
2024-07-21,Sommerferien
2024-07-22,Sommerferien
2024-07-23,Sommerferien
2024-07-24,Sommerferien
2024-07-25,Sommerferien
2024-07-26,Sommerferien
2024-07-27,Sommerferien
2024-07-28,Sommerferien
2024-07-29,Sommerferien
2024-07-30,Sommerferien
2024-07-31,Sommerferien
2024-08-01,Sommerferien
2024-08-02,Sommerferien
2024-08-03,Sommerferien
2024-08-04,Sommerferien
2024-08-05,Sommerferien
2024-08-06,Sommerferien
2024-08-07,Sommerferien
2024-08-08,Sommerferien
2024-08-09,Sommerferien
2024-08-10,Sommerferien
2024-08-11,Sommerferien
