weather_date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,windspeed_10m_max,weathercode
2023-01-01,15.9,7.1,11.3,0.0,0.0,11.9,3
2023-01-02,14.7,6.3,9.9,1.6,1.6,15.9,53
2023-01-03,9.9,2.5,7.4,0.9,0.9,5.8,51
2023-01-04,10.7,1.6,6.8,0.5,0.5,17.2,51
2023-01-05,12.3,5.7,9.9,4.8,4.8,21.4,63
2023-01-06,11.4,4.4,8.2,0.0,0.0,9.7,3
2023-01-07,11.2,2.8,5.8,0.0,0.0,11.2,3
2023-01-08,8.1,2.8,6.3,22.8,22.8,10.9,63
2023-01-09,8.2,3.8,5.8,7.3,6.2,26.6,73
2023-01-10,7.4,2.7,4.9,0.6,0.6,23.6,51
2023-01-11,10.6,5.8,8.2,2.6,2.6,20.3,53
2023-01-12,10.6,4.5,8.0,0.0,0.0,22.5,3
2023-01-13,10.9,5.7,8.5,10.0,10.0,22.4,63
2023-01-14,10.1,4.4,7.6,3.7,3.7,20.5,61
2023-01-15,11.6,2.2,6.3,10.0,10.0,30.6,63
2023-01-16,6.8,1.8,3.8,3.1,2.6,34.0,73
2023-01-17,3.3,-1.7,1.2,5.3,2.8,15.8,73
2023-01-18,1.9,-2.2,0.5,4.6,0.6,14.7,73
2023-01-19,2.0,-5.6,-2.2,0.1,0.0,11.3,71
2023-01-20,1.4,-5.4,-2.6,0.6,0.0,8.7,71
2023-01-21,1.8,-5.3,-2.4,0.3,0.0,17.3,71
2023-01-22,2.0,-1.8,-0.3,1.7,0.0,13.7,71
2023-01-23,3.0,-2.3,0.9,0.1,0.0,22.2,71
2023-01-24,4.2,1.6,2.9,0.1,0.1,12.3,51
2023-01-25,2.7,0.8,2.1,0.3,0.3,9.6,51
2023-01-26,1.0,-1.2,-0.0,0.0,0.0,12.1,3
2023-01-27,2.3,-2.7,-0.7,0.0,0.0,12.7,3
2023-01-28,3.2,-2.5,0.5,0.0,0.0,14.0,3
2023-01-29,2.1,-3.2,-1.1,0.0,0.0,7.7,3
2023-01-30,3.9,-3.3,0.7,0.0,0.0,16.7,3
2023-01-31,5.1,-1.2,2.9,0.4,0.4,15.2,51
2023-02-01,6.0,3.4,4.6,0.5,0.5,23.2,51
2023-02-02,7.2,3.5,4.9,0.4,0.4,20.2,51
2023-02-03,8.9,3.8,6.3,0.0,0.0,22.0,3
2023-02-04,7.4,2.0,6.0,1.7,1.7,18.2,51
2023-02-05,5.1,0.1,3.3,6.1,6.1,12.4,61
